event_id,event_time,user_id,event_payload
b9de71c5c3cc4cd7a97e50b832106e5a,6/26/2017 11:23,178481,"{""event_name"":""view_item"",""platform"":""android"",""parameter_name"":""item_id"",""parameter_value"":""3526""}"
23267713c9ea44419331731f50b6a8db,6/27/2017 10:46,178481,"{""event_name"":""view_item"",""platform"":""android"",""parameter_name"":""item_id"",""parameter_value"":""1514""}"
1b7822fa7b854e01970218ae8f721fe0,6/27/2017 11:15,178481,"{""event_name"":""view_item"",""platform"":""android"",""parameter_name"":""item_id"",""parameter_value"":""3712""}"
2a7a188a626841ac94befcc419f06af4,10/5/2016 20:43,154133,"{""event_name"":""view_item"",""platform"":""android"",""parameter_name"":""item_id"",""parameter_value"":""3586""}"
631d657264cc4616a4528f759509b25d,10/4/2016 3:29,154133,"{""event_name"":""view_item"",""platform"":""android"",""parameter_name"":""item_id"",""parameter_value"":""1061""}"
05e4df2fa9044bf9a49a7351fdd4a6cd,7/21/2016 1:17,119514,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""550""}"
22d3cdd566534fbdaa5e2982c1e64a75,11/24/2016 12:10,164581,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""982""}"
cb0c825fe3804f42b602106580845b88,11/23/2016 21:13,164581,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""858""}"
181f7f97ab10440fb444810e085ded46,11/25/2016 20:06,164581,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""3363""}"
bbbd68b2dbd04ecabacaa00e130a52f9,2/6/2018 6:19,232806,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""2344""}"
ad4333481e374653b0d394c007a8e3af,2/5/2018 10:32,232806,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""1596""}"
bb29681c33344638b8e50c0fe3d60c95,2/7/2018 9:21,232806,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""2423""}"
02e33f30c9bc42ed8f0b86e74ecd3318,2/8/2018 9:24,232806,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""2256""}"
bf7e03cf70d14891881ed25de5dddde3,12/7/2015 2:32,90044,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""1637""}"
1a70fca7a1bc44d29b951090c96e6e5b,12/8/2015 6:23,90044,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""3667""}"
14bcc92d0837484eb3e07d4be0102be2,11/16/2017 4:31,221881,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""1757""}"
da1efe2d31474bc0bb903eb714515d8d,11/14/2017 13:55,221881,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""467""}"
e084b2695f734bc3b3ee5b79e93d67f7,11/17/2017 5:21,221881,"{""event_name"":""view_item"",""platform"":""web"",""parameter_name"":""item_id"",""parameter_value"":""377""}"
